Datetime,Heart Rate
2019-12-06 11:09:57,82
2019-12-06 11:10:02,78
2019-12-06 11:10:07,76
2019-12-06 11:10:12,78
2019-12-06 11:10:17,80
2019-12-06 11:10:22,80
2019-12-06 11:10:27,81
2019-12-06 11:10:37,80
2019-12-06 11:10:52,81
2019-12-06 11:11:02,80
2019-12-06 11:11:07,79
2019-12-06 11:11:22,79
2019-12-06 11:11:27,80
2019-12-06 11:11:32,79
2019-12-06 11:11:42,80
2019-12-06 11:11:47,81
2019-12-06 11:11:52,80
2019-12-06 11:12:07,80
2019-12-06 11:12:22,80
2019-12-06 11:12:23,79
2019-12-06 11:12:28,78
2019-12-06 11:12:33,77
2019-12-06 11:12:43,76
2019-12-06 11:12:58,76
2019-12-06 11:13:03,72
2019-12-06 11:13:18,72
2019-12-06 11:13:23,73
2019-12-06 11:13:33,73
2019-12-06 11:13:48,73
2019-12-06 11:13:53,74
2019-12-06 11:13:58,75
2019-12-06 11:14:03,76
2019-12-06 11:14:08,79
2019-12-06 11:14:18,78
2019-12-06 11:14:23,76
2019-12-06 11:14:28,75
2019-12-06 11:14:33,76
2019-12-06 11:14:43,77
2019-12-06 11:14:48,78
2019-12-06 11:14:53,79
2019-12-06 11:15:08,79
2019-12-06 11:15:41,79
2019-12-06 11:19:36,70
2019-12-06 11:21:12,70
2019-12-06 11:21:27,70
2019-12-06 11:21:42,70
2019-12-06 11:21:52,73
2019-12-06 11:21:57,66
2019-12-06 11:22:07,64
2019-12-06 11:22:17,65
2019-12-06 11:22:27,62
2019-12-06 11:22:32,63
2019-12-06 11:22:37,64
2019-12-06 11:22:42,63
2019-12-06 11:22:47,64
2019-12-06 11:23:02,64
2019-12-06 11:23:17,65
2019-12-06 11:23:22,67
2019-12-06 11:23:37,67
2019-12-06 11:24:15,70
2019-12-06 11:24:25,83
2019-12-06 11:24:30,83
2019-12-06 11:24:45,82
2019-12-06 11:24:50,79
2019-12-06 11:24:55,80
2019-12-06 11:25:00,84
2019-12-06 11:25:15,88
2019-12-06 11:25:20,92
2019-12-06 11:25:25,94
2019-12-06 11:25:30,95
2019-12-06 11:25:35,96
2019-12-06 11:25:40,101
2019-12-06 11:25:45,103
2019-12-06 11:25:50,104
2019-12-06 11:25:55,105
2019-12-06 11:26:00,109
2019-12-06 11:26:05,112
2019-12-06 11:26:10,116
2019-12-06 11:26:15,118
2019-12-06 11:26:20,119
2019-12-06 11:26:25,120
2019-12-06 11:26:30,122
2019-12-06 11:26:35,124
2019-12-06 11:26:40,126
2019-12-06 11:26:45,127
2019-12-06 11:26:50,127
